"Date","AUS"
"19/02","2,437"
"20/02","2,392"
"21/02","2,416"
"22/02","2,415"
"23/02","2,322"
"24/02","2,186"
"25/02","2,072"
"26/02","2,025"
"27/02","1,995"
"28/02","2,003"
"01/03","1,940"
"02/03","1,904"
"03/03","1,837"
"04/03","1,753"
"05/03","1,752"
"06/03","1,737"
"07/03","1,809"
"08/03","1,788"
"09/03","1,737"
"10/03","1,688"
"11/03","1,689"
"12/03","1,685"
"13/03","1,702"
"14/03","1,727"
"15/03","1,801"
"16/03","1,812"
"17/03","1,855"
"18/03","1,855"
"19/03","1,903"
"20/03","1,943"
"21/03","2,046"
"22/03","2,107"
"23/03","2,104"
"24/03","2,149"
"25/03","2,152"
"26/03","2,159"
"27/03","2,176"
"28/03","2,301"
"29/03","2,364"
"30/03","2,446"
"31/03","2,492"
"01/04","2,533"
"02/04","2,522"
"03/04","2,581"
"04/04","2,699"
"05/04","2,836"
"06/04","2,811"
"07/04","2,746"
"08/04","2,818"
"09/04","2,844"
"10/04","2,941"
"11/04","3,092"
"12/04","3,145"
"13/04","3,147"
"14/04","3,138"
"15/04","2,982"
"16/04","3,002"
"17/04","3,069"
"18/04","3,178"
"19/04","3,276"
"20/04","3,329"
"21/04","3,320"
"22/04","3,236"
"23/04","3,210"
"24/04","3,152"
"25/04","3,189"
"26/04","3,291"
"27/04","3,391"
"28/04","3,330"
"29/04","3,169"
"30/04","3,177"
"01/05","3,099"
"02/05","3,218"
"03/05","3,088"
"04/05","3,104"
"05/05","3,131"
"06/05","3,125"
"07/05","3,071"
"08/05","3,073"
"09/05","3,139"
"10/05","3,168"
"11/05","3,102"
"12/05","3,004"
"13/05","2,933"
"14/05","2,956"
"15/05","2,988"
"16/05","3,101"
"17/05","3,162"
"18/05","3,134"
"19/05","2,986"
"20/05","2,891"
"21/05","2,829"
"22/05","2,844"
"23/05","2,912"
"24/05","2,927"
"25/05","2,889"
"26/05","2,905"
"27/05","2,863"
"28/05","2,715"
"29/05","2,712"
"30/05","2,774"
"31/05","2,777"
"01/06","2,686"
"02/06","2,570"
"03/06","2,723"
"04/06","2,660"
"05/06","2,689"
"06/06","2,756"
"07/06","2,804"
"08/06","2,778"
"09/06","2,744"
"10/06","2,707"
"11/06","2,656"
"12/06","2,682"
"13/06","2,733"
"14/06","2,851"
"15/06","2,887"
"16/06","2,818"
"17/06","2,817"
"18/06","2,815"
"19/06","2,905"
"20/06","3,006"
"21/06","3,055"
"22/06","3,022"
"23/06","3,043"
"24/06","2,967"
"25/06","3,046"
"26/06","3,118"
"27/06","3,133"
"28/06","3,276"
"29/06","3,224"
"30/06","3,267"
"01/07","3,272"
"02/07","3,329"
"03/07","3,415"
"04/07","3,511"
"05/07","3,740"
"06/07","3,781"
"07/07","3,899"
"08/07","3,977"
"09/07","4,024"
"10/07","4,094"
"11/07","4,327"
"12/07","4,468"
"13/07","4,477"
"14/07","4,512"
"15/07","4,602"
"16/07","4,733"
"17/07","4,719"
"18/07","5,001"
"19/07","5,239"
"20/07","5,357"
"21/07","5,360"
"22/07","5,307"
"23/07","5,251"
"24/07","5,362"
"25/07","5,433"
"26/07","5,571"
"27/07","5,364"
"28/07","5,245"
"29/07","5,104"
"30/07","5,012"
"31/07","4,925"
"01/08","4,992"
"02/08","5,002"
"03/08","4,861"
"04/08","4,702"
"05/08","4,613"
"06/08","4,483"
"07/08","4,431"
"08/08","4,484"
"09/08","4,611"
"10/08","4,343"
"11/08","4,274"
"12/08","4,098"
"13/08","3,981"
"14/08","3,991"
"15/08","4,013"
"16/08","3,982"
"17/08","3,807"
"18/08","3,726"
"19/08","3,621"
"20/08","3,477"
"21/08","3,433"
"22/08","3,429"
"23/08","3,453"
"24/08","3,324"
"25/08","3,237"
"26/08","3,110"
"27/08","3,087"
"28/08","3,010"
"29/08","3,036"
"30/08","3,004"
"31/08","2,937"
"01/09","2,863"
"02/09","2,765"
"03/09","2,718"
"04/09","2,701"
"05/09","2,694"
"06/09","2,599"
"07/09","2,460"
"08/09","2,388"
"09/09","2,339"
"10/09","2,332"
"11/09","2,332"
"12/09","2,332"
"13/09","2,346"
"14/09","2,337"
"15/09","2,337"
"16/09","1,991"
"17/09","2,004"
"18/09","1,963"
"19/09","1,956"
"20/09","1,950"
"21/09","1,937"
"22/09","1,931"
"23/09","1,763"
"24/09","1,763"
"25/09","1,763"
"26/09","1,763"
"27/09","1,763"
"28/09","1,763"
"29/09","1,763"
"30/09","1,563"
"01/10","1,563"
"02/10","1,563"
"03/10","1,563"
"04/10","1,563"
"05/10","1,563"
"06/10","1,563"
"07/10","1,465"
"08/10","1,465"
"09/10","1,465"
"10/10","1,465"
"11/10","1,465"
"12/10","1,465"
"13/10","1,465"
"14/10","1,425"
"15/10","1,425"
"16/10","1,425"
"17/10","1,425"
"18/10","1,425"
"19/10","1,425"
"20/10","1,425"
"21/10","1,433"
"22/10","1,433"
"23/10","1,433"
"24/10","1,433"
"25/10","1,433"
"26/10","1,433"
"27/10","1,433"
"28/10","1,338"
"29/10","1,338"
"30/10","1,338"
"31/10","1,338"
"01/11","1,338"
"02/11","1,338"
"03/11","1,338"
"04/11","1,395"
"05/11","1,395"
"06/11","1,395"
"07/11","1,395"
"08/11","1,395"
"09/11","1,395"
"10/11","1,395"
"11/11","1,786"
"12/11","1,786"
"13/11","1,786"
"14/11","1,786"
"15/11","1,786"
"16/11","1,786"
"17/11","1,786"
"18/11","2,116"
"19/11","2,116"
"20/11","2,116"
"21/11","2,116"
"22/11","2,116"
"23/11","2,116"
"24/11","2,116"
"25/11","2,471"
"26/11","2,471"
"27/11","2,471"
"28/11","2,471"
"29/11","2,471"
"30/11","2,471"
"01/12","2,471"
"02/12","2,582"
"03/12","2,582"
"04/12","2,582"
"05/12","2,582"
"06/12","2,582"
"07/12","2,582"
"08/12","2,582"
"09/12","3,026"
"10/12","3,026"
"11/12","3,026"
"12/12","3,026"
"13/12","3,026"
"14/12","3,026"
"15/12","3,026"
"16/12","3,361"
"17/12","3,361"
"18/12","3,361"
"19/12","3,361"
"20/12","3,361"
"21/12","3,361"
"22/12","3,361"
"23/12","3,377"
"24/12","3,377"
"25/12","3,377"
"26/12","3,377"
"27/12","3,377"
"28/12","3,377"
"29/12","3,377"
"30/12","3,593"
"31/12","3,593"
"01/01","3,593"
"02/01","3,593"
"03/01","3,593"
"04/01","3,593"
"05/01","3,593"
"06/01","3,448"
"07/01","3,448"
"08/01","3,448"
"09/01","3,448"
"10/01","3,448"
"11/01","3,448"
"12/01","3,448"
"13/01","2,824"
"14/01","2,824"
"15/01","2,824"
"16/01","2,824"
"17/01","2,824"
"18/01","2,824"
"19/01","2,824"
"20/01","2,278"
"21/01","2,278"
"22/01","2,278"
"23/01","2,278"
"24/01","2,278"
"25/01","2,278"
"26/01","2,278"
"27/01","1,939"
"28/01","1,939"
"29/01","1,939"
"30/01","1,939"
"31/01","1,939"
"01/02","1,939"
"02/02","1,939"
"03/02","1,663"
"04/02","1,663"
"05/02","1,663"
"06/02","1,663"
"07/02","1,663"
"08/02","1,663"
"09/02","1,663"
"10/02","1,434"
"11/02","1,434"
"12/02","1,434"
"13/02","1,434"
"14/02","1,434"
"15/02","1,434"
"16/02","1,434"
"17/02","1,329"
"18/02","1,329"
"19/02","1,329"
"20/02","1,329"
"21/02","1,329"
"22/02","1,329"
"23/02","1,329"
"24/02","1,295"
"25/02","1,295"
"26/02","1,295"
"27/02","1,295"
"28/02","1,295"
"01/03","1,295"
"02/03","1,295"
"03/03","1,314"
"04/03","1,314"
"05/03","1,314"
"06/03","1,314"
"07/03","1,314"
"08/03","1,314"
"09/03","1,314"
"10/03","1,292"
"11/03","1,292"
"12/03","1,292"
"13/03","1,292"
"14/03","1,292"
"15/03","1,292"
"16/03","1,292"
"17/03","1,347"
"18/03","1,347"
"19/03","1,347"
"20/03","1,347"
"21/03","1,347"
"22/03","1,347"
"23/03","1,347"
"24/03","1,436"
"25/03","1,436"
"26/03","1,436"
"27/03","1,436"
"28/03","1,436"
"29/03","1,436"
"30/03","1,436"
"31/03","1,556"
"01/04","1,556"
"02/04","1,556"
"03/04","1,556"
"04/04","1,556"
"05/04","1,556"
"06/04","1,556"
"07/04","1,673"
"08/04","1,673"
"09/04","1,673"
"10/04","1,673"
"11/04","1,673"
"12/04","1,673"
"13/04","1,673"
"14/04","1,951"
"15/04","1,951"
"16/04","1,951"
"17/04","1,951"
"18/04","1,951"
"19/04","1,951"
"20/04","1,951"
"21/04","2,031"
"22/04","2,031"
"23/04","2,031"
"24/04","2,031"
"25/04","2,031"
"26/04","2,031"
"27/04","2,031"
"28/04","2,294"
"29/04","2,294"
"30/04","2,294"
"01/05","2,294"
"02/05","2,294"
"03/05","2,294"
"04/05","2,294"
"05/05","2,304"
"06/05","2,304"
"07/05","2,304"
"08/05","2,304"
"09/05","2,304"
"10/05","2,304"
"11/05","2,304"
"12/05","2,270"
"13/05","2,270"
"14/05","2,270"
"15/05","2,270"
"16/05","2,270"
"17/05","2,270"
"18/05","2,270"
"19/05","2,391"
"20/05","2,391"
"21/05","2,391"
"22/05","2,391"
"23/05","2,391"
"24/05","2,391"
"25/05","2,391"
"26/05","2,555"
"27/05","2,555"
"28/05","2,555"
"29/05","2,555"
"30/05","2,555"
"31/05","2,555"
"01/06","2,555"
"02/06","2771"
"03/06","2771"
"04/06","2771"
"05/06","2771"
"06/06","2771"
"07/06","2771"
"08/06","2771"
"09/06","2670"
"10/06","2670"
"11/06","2670"
"12/06","2670"
"13/06","2670"
"14/06","2670"
"15/06","2670"
"16/06","2340"
"17/06","2340"
"18/06","2340"
"19/06","2340"
"20/06","2340"
"21/06","2340"
"22/06","2340"
"23/06","2,082"
"24/06","2,082"
"25/06","2,082"
"26/06","2,082"
"27/06","2,082"
"28/06","2,082"
"29/06","2,082"
"30/06","1,871"
"01/07","1,871"
"02/07","1,871"
"03/07","1,871"
"04/07","1,871"
"05/07","1,871"
"06/07","1,871"
"07/07","1,690"
"08/07","1,690"
"09/07","1,690"
"10/07","1,690"
"11/07","1,690"
"12/07","1,690"
"13/07","1,690"
"14/07","1,457"
"15/07","1,457"
"16/07","1,457"
"17/07","1,457"
"18/07","1,457"
"19/07","1,457"
"20/07","1,457"
"21/07","1,393"
"22/07","1,393"
"23/07","1,393"
"24/07","1,393"
"25/07","1,393"
"26/07","1,393"
"27/07","1,393"
"28/07","1,283"
"29/07","1,283"
"30/07","1,283"
"31/07","1,283"
"01/08","1,283"
"02/08","1,283"
"03/08","1,283"
"04/08","1,097"
