"Date","AUS"
"21/09","304"
"22/09","302"
"23/09","295"
"24/09","300"
"25/09","298"
"26/09","299"
"27/09","292"
"28/09","297"
"29/09","296"
"30/09","299"
"01/10","300"
"02/10","302"
"03/10","298"
"04/10","296"
"05/10","298"
"06/10","291"
"07/10","305"
"08/10","292"
"09/10","287"
"10/10","293"
"11/10","295"
"12/10","308"
"13/10","305"
"14/10","297"
"15/10","310"
"16/10","312"
"17/10","298"
"18/10","297"
"19/10","287"
"20/10","279"
"21/10","275"
"22/10","282"
"23/10","280"
"24/10","273"
"25/10","278"
"26/10","265"
"27/10","241"
"28/10","226"
"29/10","216"
"30/10","222"
"31/10","211"
"01/11","216"
"02/11","203"
"03/11","187"
"04/11","180"
"05/11","171"
"06/11","162"
"07/11","149"
"08/11","140"
"09/11","133"
"10/11","126"
"11/11","119"
"12/11","116"
"13/11","109"
"14/11","107"
"15/11","110"
"16/11","105"
"17/11","92"
"18/11","93"
"19/11","86"
"20/11","84"
"21/11","90"
"22/11","76"
"23/11","81"
"24/11","90"
"25/11","82"
"26/11","76"
"27/11","73"
"28/11","73"
"29/11","75"
"30/11","71"
"01/12","71"
"02/12","68"
"03/12","71"
"04/12","73"
"05/12","69"
"06/12","73"
"07/12","78"
"08/12","79"
"09/12","80"
"10/12","87"
"11/12","95"
"12/12","99"
"13/12","103"
"14/12","102"
"15/12","109"
"16/12","114"
"17/12","106"
"18/12","111"
"19/12","110"
"20/12","115"
"21/12","113"
"22/12","111"
"23/12","121"
"24/12","131"
"25/12","129"
"26/12","134"
"27/12","141"
"28/12","135"
"29/12","126"
"30/12","122"
"31/12","128"
"01/01","135"
"02/01","148"
"03/01","171"
"04/01","184"
"05/01","196"
"06/01","210"
"07/01","227"
"08/01","293"
"09/01","300"
"10/01","325"
"11/01","342"
"12/01","350"
"13/01","350"
"14/01","363"
"15/01","384"
"16/01","392"
"17/01","411"
"18/01","419"
"19/01","424"
"20/01","418"
"21/01","424"
"22/01","417"
"23/01","392"
"24/01","402"
"25/01","395"
"26/01","372"
"27/01","382"
"28/01","391"
"29/01","394"
"30/01","367"
"31/01","370"
"01/02","374"
"02/02","348"
"03/02","316"
"04/02","315"
"05/02","303"
"06/02","286"
"07/02","274"
"08/02","271"
"09/02","274"
"10/02","267"
"11/02","256"
"12/02","257"
"13/02","223"
"14/02","231"
"15/02","222"
"16/02","223"
"17/02","224"
"18/02","208"
"19/02","190"
"20/02","184"
"21/02","179"
"22/02","171"
"23/02","172"
"24/02","159"
"25/02","157"
"26/02","150"
"27/02","137"
"28/02","136"
"01/03","131"
"02/03","121"
"03/03","118"
"04/03","112"
"05/03","112"
"06/03","113"
"07/03","117"
"08/03","112"
"09/03","112"
"10/03","111"
"11/03","101"
"12/03","97"
"13/03","108"
"14/03","112"
"15/03","105"
"16/03","105"
"17/03","96"
"18/03","92"
"19/03","85"
"20/03","87"
"21/03","87"
"22/03","95"
"23/03","95"
"24/03","102"
"25/03","96"
"26/03","100"
"27/03","102"
"28/03","113"
"29/03","119"
"30/03","102"
"31/03","89"
"01/04","88"
"02/04","95"
"03/04","103"
"04/04","107"
"05/04","114"
"06/04","107"
"07/04","102"
"08/04","93"
"09/04","103"
"10/04","113"
"11/04","121"
"12/04","130"
"13/04","126"
"14/04","126"
"15/04","126"
"16/04","134"
"17/04","130"
"18/04","140"
"19/04","144"
"20/04","161"
"21/04","146"
"22/04","134"
"23/04","133"
"24/04","135"
"25/04","132"
"26/04","141"
"27/04","142"
"28/04","149"
"29/04","137"
"30/04","139"
"01/05","149"
"02/05","136"
"03/05","143"
"04/05","142"
"05/05","133"
"06/05","126"
"07/05","130"
"08/05","131"
"09/05","129"
"10/05","123"
"11/05","114"
"12/05","122"
"13/05","123"
"14/05","121"
"15/05","129"
"16/05","138"
"17/05","131"
"18/05","134"
"19/05","121"
"20/05","118"
"21/05","107"
"22/05","108"
"23/05","107"
"24/05","117"
"25/05","108"
"26/05","101"
"27/05","99"
"28/05","92"
"29/05","90"
"30/05","97"
"31/05","92"
"01/06","87"
"02/06","85"
"03/06","87"
"04/06","83"
"05/06","89"
"06/06","94"
"07/06","87"
"08/06","99"
"09/06","102"
"10/06","101"
"11/06","95"
"12/06","96"
"13/06","86"
"14/06","102"
"15/06","104"
"16/06","97"
"17/06","93"
"18/06","103"
"19/06","111"
"20/06","113"
"21/06","105"
"22/06","103"
"23/06","108"
"24/06","110"
"25/06","103"
"26/06","107"
"27/06","111"
"28/06","122"
"29/06","108"
"30/06","98"
"01/07","106"
"02/07","109"
"03/07","106"
"04/07","118"
"05/07","123"
"06/07","138"
"07/07","140"
"08/07","141"
"09/07","134"
"10/07","133"
"11/07","131"
"12/07","126"
"13/07","137"
"14/07","139"
"15/07","144"
"16/07","150"
"17/07","155"
"18/07","155"
"19/07","158"
"20/07","169"
"21/07","162"
"22/07","159"
"23/07","158"
"24/07","145"
"25/07","160"
"26/07","165"
"27/07","145"
"28/07","163"
"29/07","161"
"30/07","166"
"31/07","169"
"01/08","179"
"02/08","184"
"03/08","162"
"04/08","161"
"05/08","155"
"06/08","149"
"07/08","159"
"08/08","154"
"09/08","141"
"10/08","125"
"11/08","135"
"12/08","140"
"13/08","137"
"14/08","139"
"15/08","138"
"16/08","140"
"17/08","122"
"18/08","122"
"19/08","119"
"20/08","126"
"21/08","112"
"22/08","104"
"23/08","102"
"24/08","96"
"25/08","95"
"26/08","93"
"27/08","97"
"28/08","95"
"29/08","95"
"30/08","86"
"31/08","84"
"01/09","74"
"02/09","74"
"03/09","79"
"04/09","83"
"05/09","84"
"06/09","77"
"07/09","80"
"08/09","64"
"09/09","60"
"10/09","55"
"11/09","56"
"12/09","56"
"13/09","52"
"14/09","57"
"15/09","57"
"16/09","54"
"17/09","55"
"18/09","51"
"19/09","53"
"20/09","53"
"21/09","52"
"22/09","51"
"23/09","48"
"24/09","48"
"25/09","48"
"26/09","48"
"27/09","48"
"28/09","48"
"29/09","48"
"30/09","45"
"01/10","45"
"02/10","45"
"03/10","45"
"04/10","45"
"05/10","45"
"06/10","45"
"07/10","43"
"08/10","43"
"09/10","43"
"10/10","43"
"11/10","43"
"12/10","43"
"13/10","43"
"14/10","34"
"15/10","34"
"16/10","34"
"17/10","34"
"18/10","34"
"19/10","34"
"20/10","34"
"21/10","42"
"22/10","42"
"23/10","42"
"24/10","42"
"25/10","42"
"26/10","42"
"27/10","42"
"28/10","48"
"29/10","48"
"30/10","48"
"31/10","48"
"01/11","48"
"02/11","48"
"03/11","48"
"04/11","37"
"05/11","37"
"06/11","37"
"07/11","37"
"08/11","37"
"09/11","37"
"10/11","37"
"11/11","66"
"12/11","66"
"13/11","66"
"14/11","66"
"15/11","66"
"16/11","66"
"17/11","66"
"18/11","61"
"19/11","61"
"20/11","61"
"21/11","61"
"22/11","61"
"23/11","61"
"24/11","61"
"25/11","81"
"26/11","81"
"27/11","81"
"28/11","81"
"29/11","81"
"30/11","81"
"01/12","81"
"02/12","75"
"03/12","75"
"04/12","75"
"05/12","75"
"06/12","75"
"07/12","75"
"08/12","75"
"09/12","94"
"10/12","94"
"11/12","94"
"12/12","94"
"13/12","94"
"14/12","94"
"15/12","94"
"16/12","95"
"17/12","95"
"18/12","95"
"19/12","95"
"20/12","95"
"21/12","95"
"22/12","95"
"23/12","100"
"24/12","100"
"25/12","100"
"26/12","100"
"27/12","100"
"28/12","100"
"29/12","100"
"30/12","122"
"31/12","122"
"01/01","122"
"02/01","122"
"03/01","122"
"04/01","122"
"05/01","122"
"06/01","123"
"07/01","123"
"08/01","123"
"09/01","123"
"10/01","123"
"11/01","123"
"12/01","123"
"13/01","99"
"14/01","99"
"15/01","99"
