"","Active Cases","Deaths","Recoveries","Inactives removed"
"30/09","21,428","1,289","33,373","49,033"
"01/10","21,115","1,309","34,601","50,146"
"02/10","21,476","1,321","35,246","51,272"
"03/10","21,382","1,334","36,443","52,232"
"04/10","22,165","1,344","36,891","53,011"
"05/10","23,377","1,357","36,998","54,070"
"06/10","23,067","1,379","38,375","55,005"
"07/10","23,406","1,389","39,340","55,907"
"08/10","24,914","1,405","39,435","56,798"
"09/10","24,986","1,421","41,007","57,668"
"10/10","25,775","1,432","41,758","58,489"
"11/10","26,279","1,448","42,677","59,166"
"12/10","26,447","1,461","43,523","59,948"
"13/10","26,446","1,478","44,886","60,642"
"14/10","26,007","1,496","47,142","61,490"
"15/10","27,120","1,507","47,876","62,218"
"16/10","27,531","1,515","49,541","62,445"
"17/10","29,043","1,531","49,621","62,940"
"18/10","27,315","1,543","52,581","63,824"
"19/10","27,115","1,558","54,182","64,420"
"20/10","28,523","1,577","55,878","63,420"
"21/10","28,577","1,590","57,781","63,995"
"22/10","28,709","1,611","59,665","64,504"
"23/10","28,993","1,622","61,279","64,478"
"24/10","30,051","1,637","61,339","65,520"
"25/10","29,722","1,648","62,960","65,900"
"26/10","29,443","1,653","64,622","66,298"
"27/10","28,647","1,669","66,638","66,815"
"28/10","26,536","1,696","70,467","67,205"
"29/10","27,944","1,708","70,572","67,566"
"30/10","25,314","1,722","74,539","67,780"
"31/10","25,916","1,734","74,567","68,241"
"01/11","25,650","1,744","76,108","68,528"
"02/11","22,918","1,757","79,631","68,859"
"03/11","21,706","1,769","81,608","69,192"
"04/11","20,975","1,782","83,510","69,546"
"05/11","22,165","1,796","83,579","69,854"
"06/11","19,979","1,806","87,121","70,022"
"07/11","19,563","1,816","88,501","70,427"
"08/11","19,243","1,828","89,830","70,677"
"09/11","18,611","1,842","91,449","70,968"
"10/11","17,981","1,859","92,999","71,233"
"11/11","18,647","1,864","93,649","71,467"
"12/11","19,145","1,875","94,330","71,678"
"13/11","19,825","1,879","94,966","71,824"
"14/11","20,426","1,884","95,221","72,058"
"15/11","20,630","1,890","95,846","72,241"
