day,S,I,D,T1,T2,H,E,alpha,beta,gamma,delta1,delta2,epsi,sigma1,sigma2,tau1,tau2,lambda
28-Nov-2020,0.950212425160365,0.0128904867478843,0.0122971882864974,0.000499373054743444,6.30612588059974e-05,0.0233039835563413,0.000733481935347208,0.0612656447293969,0.0050039877337738,0.0266259854590884,0.00182598592310151,0.00015263698256219,4.41268482458466e-06,0.0274255392450051,0.0254820698782328,0.00799674565222566,0.0079985035800215,0.0387447254666785
29-Nov-2020,0.949405236930293,0.0128561312154018,0.0121423439385919,0.000503912499061179,6.28212380992966e-05,0.0242915569917151,0.000737997186820086,0.060780815448168,0.00499212071445922,0.0260046019077455,0.00181753582375191,0.000146546563750124,4.35647438380505e-06,0.027512257652147,0.0254955792123298,0.00799699914999821,0.0079986173120516,0.0392384515926892
30-Nov-2020,0.948607687147969,0.0128162040226526,0.0119792303629751,0.000507865315417775,6.24921664130304e-05,0.0252839767379039,0.000742544246649547,0.05996813068993,0.00496790167567729,0.0254571827505111,0.00180924138341605,0.000140808303196641,4.36912485570007e-06,0.0275974967802119,0.0255086810036623,0.0079971619900134,0.00799868966124642,0.0396648215226597
01-Dec-2020,0.947824299775094,0.0127665845448574,0.011809894792599,0.000511243668168984,6.20820711082856e-05,0.0262787774053386,0.00074711774281395,0.0588727162631302,0.0049319106062057,0.0249809557260797,0.00180112275899424,0.000135437687752768,4.45863927492445e-06,0.0276810314827957,0.0255213536180233,0.00799728187559014,0.00799874230306803,0.0400272540258494
02-Dec-2020,0.94705917004168,0.0127038170647365,0.0116361121315117,0.000514063250975119,6.15991047368187e-05,0.0272735259018897,0.000751712504449533,0.0577891514502074,0.00489485120377637,0.024573172554534,0.00179319747126321,0.000130444518405675,4.63344133662531e-06,0.0277626545866972,0.0255335821498063,0.00799737635300505,0.0079987832638078,0.040329052017198
03-Dec-2020,0.946312723778251,0.0126282075117568,0.0114594523747889,0.00051634262004925,6.10513814257496e-05,0.028265898761669,0.000756323572039462,0.0567241230298672,0.00485692070714381,0.0242313085087815,0.00178548050247799,0.000125833253405821,4.89466556249405e-06,0.0278421776845352,0.0255453581869573,0.0079974527034187,0.00799881593932077,0.0405732094315055
04-Dec-2020,0.945585239812222,0.0125401768284575,0.0112813380418642,0.000518102691738307,6.04468443459694e-05,0.0292537495693011,0.000760946212050599,0.055536346649576,0.0048120201409282,0.0239532222105059,0.0017779844321266,0.000121603956966224,5.22926841401491e-06,0.027919431490911,0.0255566788130442,0.0079975148007388,0.00799884220169067,0.0407622720904546
05-Dec-2020,0.944878710771189,0.0124384531582611,0.011103036424547,0.000519366303902516,5.97931608687559e-05,0.0302350642506871,0.000765575930524923,0.0542993972882497,0.00476276928874602,0.0237372317590038,0.00177071961615235,0.000117753765535213,5.60579839089519e-06,0.0279942656556739,0.0255675449355933,0.00799756525272753,0.00799886334249466,0.0408982744734916
06-Dec-2020,0.944194191160232,0.012322747740086,0.0109256661106875,0.000520157788317765,5.90976460546555e-05,0.0312079310710221,0.000770208483580031,0.0531710014102453,0.00471607459676162,0.0235820598031278,0.00176369440043075,0.00011427850677539,5.98020547339567e-06,0.0280665480784437,0.0255779593756675,0.00799760597765168,0.0079988802976553,0.0409827938093063
07-Dec-2020,0.943530733753902,0.0121947248262302,0.0107502442031512,0.000520502620232509,5.8367222823212e-05,0.032170587489068,0.000774839884574325,0.0519926304270106,0.0046648830811506,0.0234866700075453,0.00175691533896427,0.000111173972107865,6.30854426909559e-06,0.0281361640031982,0.0255879253351405,0.00799763834249682,0.00799889369901675,0.041017105403393
08-Dec-2020,0.942889236034388,0.0120541556340997,0.0105776932882317,0.00052042714718823,5.76084149793745e-05,0.0331214130723822,0.00077946640871283,0.050872825158209,0.00461413385722006,0.0234500637449159,0.00175038738112024,0.000108436601426067,6.56817632192266e-06,0.0282030152703159,0.0255974455565048,0.00799766324891285,0.0079989039126665,0.0410023684929942
09-Dec-2020,0.942269233386737,0.0119021447066804,0.0104088382398802,0.000519958304688133,5.68273624349882e-05,0.0340589134040451,0.00078408459551787,0.0500588666483301,0.00457632482250788,0.0234710512914327,0.00174411401733336,0.000106063499236972,6.77296585081918e-06,0.028267019862077,0.0256065222929717,0.00799768125353512,0.00799891110630395,0.0409398304249654
10-Dec-2020,0.941667253974548,0.0117426422371351,0.0102444534741888,0.000519123387038178,5.60298507545738e-05,0.0349818058268947,0.000788691249425264,0.0494753966034778,0.00454872401142619,0.0235480718129738,0.00173809738888438,0.00010405188237337,6.95606177561928e-06,0.0283281117065393,0.025615157979345,0.00799769275845542,0.007998915378247,0.0408309950449836
11-Dec-2020,0.94108064504537,0.0115785625208642,0.0100852781293187,0.000517949913228762,5.52213327814504e-05,0.0358890596191464,0.00079328343927667,0.0488958014441099,0.00452035435405056,0.0236790779514871,0.00173233838966356,0.000102398439976709,7.14673357582079e-06,0.0283862404526639,0.0256233560179732,0.00799769817821911,0.00799891686088296,0.0406777366383022
12-Dec-2020,0.940509339258928,0.0114101397067601,0.00993196729067324,0.000516465478610373,5.44069320082863e-05,0.0367798228360569,0.000797858496950642,0.0484014576351346,0.00449537548338231,0.0238614623645411,0.00172683679289005,0.000101098963939304,7.38015555888531e-06,0.0284413708305181,0.0256311212332801,0.00799769795856509,0.00799891570804852,0.040482368697762
13-Dec-2020,0.939952326146324,0.0112385144651159,0.00978506834328693,0.000514697535218239,5.35914458440089e-05,0.0376533880496775,0.000802414014522031,0.0483046311973836,0.00449026986791367,0.0240919766769127,0.00172159140990137,0.000100148056544199,7.71895483835537e-06,0.0284934814860767,0.0256384602262445,0.00799769244886434,0.00799891201269144,0.0402477180086276
14-Dec-2020,0.939405084280886,0.0110681662482896,0.00964506831071269,0.000512673201836697,5.27793615490711e-05,0.0385092807570146,0.000806947839701447,0.0488785904297192,0.0045195004508317,0.0243666624992124,0.00171660024514543,9.95386514977961e-05,8.26260974450233e-06,0.0285425636991456,0.0256453819512016,0.00799768173066454,0.00799890573602507,0.0399771998313361
15-Dec-2020,0.938860086413845,0.010906217067256,0.00951246219986337,0.000510419191873834,5.19748806321442e-05,0.0393473821762483,0.000811458070272863,0.0502859920955495,0.00459007894132231,0.0246808463225766,0.00171186058304854,9.92614069319736e-05,9.16388235880931e-06,0.0285886207763306,0.0256518984407832,0.0079976655912889,0.00799889671711848,0.0396748489735691
16-Dec-2020,0.938308058808856,0.0107610474716261,0.00938779969735982,0.000507961839353738,5.11819526714329e-05,0.040168007181528,0.000815943048598078,0.0522612266758856,0.0046856699914329,0.0250292511010307,0.00170736899234192,9.93042243286909e-05,1.07417608761518e-05,0.0286316683459203,0.0256580253628827,0.00799764365452693,0.00799888473553235,0.0393452498634371
17-Dec-2020,0.937742546115023,0.0106377958196049,0.00927166541175077,0.000505327103196718,5.04043634312025e-05,0.0409718598301062,0.000820401356882251,0.0538699797409684,0.00476084275708218,0.0254062409413955,0.00170312128661929,9.96519659067779e-05,1.45830385111827e-05,0.0286717351219585,0.0256637823172129,0.00799761562358734,0.00799886961671614,0.0389933347549259
18-Dec-2020,0.937166868563326,0.0105318196844202,0.00916452747850418,0.00050253989309983,4.96463555580807e-05,0.0417597662122132,0.000824831812878051,0.0543270859626261,0.0047825247417997,0.0258060939279654,0.00169911251738861,0.000100286362692693,3.7327988131859e-05,0.0287088631998588,0.0256691928761337,0.00799758145349392,0.00799885131817166,0.0386241305444517
19-Dec-2020,0.936592550212173,0.010430827106188,0.00906653095881256,0.000499616330069157,4.89199851216363e-05,0.0425323219436715,0.000829233463986306,0.0536572562204288,0.00475274407351188,0.026223187288441,0.0016953370426983,0.000101186152982771,0.000139816678139068,0.0287431073088513,0.0256742842930772,0.00799754132884584,0.0079988299288451,0.0382425683508772
