alpha,gamma,delta,sigma,tau
0.250862644807814,0.119992866749556,0.0112499356862676,0.0195408876945721,0.098631181613937
0.251129111991452,0.119979949944569,0.0113989997066304,0.019482861293822,0.098451035004082
0.251450559780043,0.119963305145131,0.011527051707257,0.0194310442622419,0.0982763516207362
0.251831237948439,0.119942770658759,0.0116244540131627,0.0193889348201091,0.0981136212464674
0.252274491609169,0.11991843941132,0.011681618189901,0.0193600061779635,0.0979691145524602
0.252782062321198,0.119890489375139,0.0116928094965597,0.0193462993605085,0.0978458201142859
0.253351754341886,0.119860464684367,0.0116657183009569,0.0193450418261525,0.0977356087725823
0.253984717020306,0.119830759324,0.0116295083996371,0.0193452948844817,0.0976118152557004
0.254675228719429,0.119803700747156,0.0115764319819567,0.0193494152428714,0.0974777474889663
0.255409911068889,0.119780523173889,0.0114510426684313,0.0193766149278659,0.0973746305836502
0.256174665255049,0.119763897200249,0.0112706227266776,0.0194206122774938,0.0972863471407492
0.256944249341059,0.11975949072974,0.0110583133697341,0.0194732615247242,0.0971925639545605
0.257696273316819,0.119771126684345,0.0108323150247702,0.0195283402536979,0.0970772456694806
0.258414943261978,0.119800348620439,0.0106037912447765,0.0195821304640684,0.0969298772299246
0.259072845769218,0.11985163431962,0.0103790566870957,0.0196326190696151,0.0967437733535964
0.259660427536699,0.119924887880616,0.0101465830043096,0.0196835959538853,0.0965251252750809
0.260175942304187,0.120018149819496,0.00992184860263787,0.0197303492203169,0.0962614721092163
0.260595118759268,0.120134431343163,0.00970023904582019,0.0197745085442814,0.0959549019198685
0.260911158637951,0.120273085314719,0.00947200767621267,0.019819326488983,0.0956113363264584
0.261106238495227,0.120435606094736,0.00923749431582772,0.0198646433868209,0.0952296529095766
0.261190326748641,0.120618478427151,0.00900727539655801,0.0199071246682101,0.0948018017255286
0.261174857571242,0.120817700139683,0.00877771212618305,0.0199479697205993,0.0943301803822908
0.26105640468783,0.121031734486866,0.00854893006659168,0.0199871714104405,0.0938149728092904
0.260824507264528,0.121259896562627,0.00832138630153611,0.020024575029493,0.0932565462393576
0.260458050099034,0.121502741645297,0.00809736777728257,0.0200593291971959,0.0926542481787903
0.25997631368927,0.121755784634101,0.00787974200374145,0.0200900230033396,0.0920066125062053
0.259400678044141,0.122014667116098,0.0076512673840466,0.0201218099071443,0.0913272697176687
0.258704706140707,0.122279924572102,0.00742643591259677,0.0201509734739939,0.0906102282866757
0.257876689511228,0.122550760172329,0.00720553453411284,0.0201778567619663,0.0898589657385432
0.256919048293038,0.122824601100653,0.00698856648638639,0.0202031282692977,0.0890780484472906
0.255815635914897,0.123099469582012,0.00677652658133682,0.0202271461429507,0.088271791371172
0.254592846969839,0.123371621244835,0.00656745529662838,0.0202513184852803,0.0874471120980365
