alpha,gamma,delta,sigma,tau
0.212629774673942,0.119789917143672,0.00183784318387398,0.0231377544156121,0.0270376880613382
0.212524656023637,0.119567994503681,0.00182901925147024,0.023176082581108,0.0271216715393548
0.212655025920872,0.11934755532922,0.00182295538100169,0.0232132255870583,0.0272025032660325
0.212964184520392,0.119129393843386,0.00182150137187118,0.0232483628680086,0.0272794378841373
0.213417498726614,0.118914210559311,0.00182378903937816,0.0232817488316151,0.0273518903122329
0.213996018395169,0.118702640707338,0.001828858152058,0.0233135649561452,0.0274208037875647
0.214708779312247,0.118495193197092,0.00183479227042095,0.0233443392183172,0.0274873579546988
0.215563865569363,0.118292377245887,0.00184120350951664,0.023374084942496,0.0275515185822728
0.216551190098516,0.118094746644322,0.00184827712908634,0.0234026319143119,0.0276128178320917
0.21764083412673,0.117902868771114,0.00185664196351296,0.0234296884635479,0.0276705350356606
0.218787215812989,0.11771728504353,0.00186705738990909,0.0234549629696215,0.0277239747299638
0.219963164589154,0.117538365706571,0.00187979003698222,0.023478380435713,0.0277729303986447
0.221171765260759,0.117366278213267,0.001894314580118,0.023500167094853,0.027817909426459
0.222406566236319,0.117201147366833,0.00191065948367896,0.0235202904671923,0.0278591385187622
0.223644904112299,0.117043107264753,0.00193402992007941,0.023537138273438,0.0278924423301318
0.224908171839475,0.116892063565702,0.00196380732915221,0.0235508396922063,0.0279184316563967
0.226203394698466,0.116747875323767,0.00199736368729037,0.0235621781133464,0.0279388945797621
0.227520434853805,0.11661041719802,0.00203420508023308,0.0235711819991525,0.0279539619374509
0.228679001512478,0.116480140505082,0.00207920251773036,0.0235761863880635,0.0279599772238553
0.229817246860957,0.116356300024938,0.00212602029717753,0.0235792486464432,0.0279616594302436
0.230826811963949,0.116239051809876,0.00217156443869265,0.0235814103207302,0.0279614797329144
0.231591821010225,0.116128621897052,0.00221405799885467,0.0235833073232258,0.0279609279150095
0.232053594442144,0.116024974790061,0.0022535191565317,0.0235849927315114,0.0279601555532781
0.23219075643352,0.115927752197441,0.00228928770546726,0.0235867732650036,0.0279598739416014
0.231957737894715,0.115836413043696,0.00232040828978052,0.0235891088732558,0.0279611212954573
0.231491012631097,0.115749627605492,0.00234590964469549,0.0235925082480009,0.0279650277441424
0.230908854601501,0.115666157866209,0.00236532648940763,0.0235973012509591,0.0279725529090244
