alpha,gamma,delta,sigma,tau
0.300012159303241,0.0999069369240726,0.0224181911783506,0.051344596271733,0.0421099009886211
0.300012011306575,0.099900193133713,0.0220848344019189,0.0514136138427111,0.0401661863594103
0.300011882908204,0.0998934187645858,0.0217499524887736,0.0514840643795231,0.0383418081237436
0.300011798610743,0.0998866478333863,0.0214116219118182,0.0515562178642753,0.03663971871199
0.300011812962868,0.0998798694873444,0.0210676299429687,0.0516303820784805,0.035060685073795
0.300011951809703,0.099873066960345,0.0207154970737995,0.051706872672739,0.0336035206438224
0.300012222558013,0.0998662097955971,0.0203525499420258,0.0517860181557815,0.0322654926556566
0.300012599694897,0.0998592869147954,0.0199761564010938,0.0518681373867271,0.0310426830308096
0.300013074888417,0.099852295531537,0.0195838906434958,0.0519535199793179,0.0299302811514564
0.300013649298379,0.0998452435592574,0.0191734678410087,0.0520423958898252,0.0289226985271936
0.300014329723688,0.0998381342549085,0.0187425356448787,0.0521349182859858,0.0280135671348942
0.300015081945722,0.099830986530831,0.0182884900316676,0.0522311782135448,0.0271958520054268
0.300015887782021,0.0998238041049337,0.0178084081865367,0.0523312366951749,0.0264620768961315
0.30001670757725,0.099816623320654,0.0172992025521824,0.0524351592894497,0.0258046357294451
0.300017503656391,0.0998094425190144,0.016757017480516,0.0525430993603077,0.025216160100022
0.300018276692372,0.0998022214512023,0.0161772043326463,0.0526553120524573,0.0246898221056654
0.300019066037216,0.0997949364452396,0.0155541847780783,0.0527721036842052,0.0242194500114523
0.300019938769586,0.0997875522667854,0.014881311425435,0.052893735993221,0.0237994355393101
0.300020957049578,0.0997800585118009,0.0141500535409673,0.053020389796883,0.0234245942460581
0.300022134525993,0.0997724507091807,0.0133490182094169,0.0531521774750837,0.0230902422153119
0.300023422266629,0.0997647155092651,0.0124633808994197,0.0532890497758491,0.0227922943928734
0.300024753233836,0.0997568935679637,0.0114753168774453,0.053430534192475,0.022527182899843
0.300025975692697,0.0997492216543508,0.010367021480167,0.0535750484335923,0.022291300230069
0.300026917114964,0.0997421809604566,0.0091326475920264,0.0537183977008202,0.0220797134891082
0.300026408875498,0.0997374372638844,0.00782554955458917,0.0538504493229042,0.0218833067750594
0.300020722002233,0.0997394218227794,0.00663875405032971,0.0539544591784853,0.0216884076487574
0.300010352896565,0.0997486722147645,0.00570284193764581,0.054027258907233,0.0214945700975499
0.299995225084678,0.099764672626315,0.00502286628125274,0.0540753042215322,0.0213089866861547
0.299975506897164,0.0997846300008141,0.00461285053338135,0.0541023472358949,0.0211360939180972
0.299952155806175,0.0998072155966865,0.00435688226001349,0.0541186132755286,0.0209844325914497
0.299926393894044,0.099831391889207,0.00417106673798542,0.054130261536348,0.0208585242419614
0.299898763652648,0.0998567668969151,0.00401909508529581,0.0541396515635635,0.0207590661560114
0.299870347950425,0.0998820102058135,0.00387001121343501,0.054148661349421,0.0206864907365998
